S.no,Maker,ELECTRIC(BOV),,
1,AMPERE VEHICLES PRIVATE LIMITED,1,,
2,AUDI AG,70,,
3,BMW INDIA PVT LTD,43,,
4,BYD INDIA PRIVATE LIMITED,183,,
5,HYUNDAI MOTOR INDIA LTD,180,,
6,"HYUNDAI MOTORS LTD, SOUTH KOREA",1,,
7,JAGUAR LAND ROVER INDIA LIMITED,33,,
8,MAHINDRA & MAHINDRA LIMITED,127,,
10,MERCEDES -BENZ AG,33,,
11,MG MOTOR INDIA PVT LTD,"1,142",,
12,NISSAN MOTOR INDIA PVT LTD,3,,
13,PORSCHE AG GERMANY,28,,
15,TATA MOTORS ,"16,152",,"1,459"
16,TOYOTA KIRLOSKAR MOTOR PVT LTD,1,,"16,152"
17,VOLVO AUTO INDIA PVT LTD,5,,
